Company,Price,change,Percent Change,Market Cap
Apple Inc.,261.78,-0.23,-0.09%,1.183T
Microsoft Corporation,149.59,+0.11,+0.07%,1.141T
Taiwan Semiconductor Manufacturing Company Limited,52.79,-0.19,-0.36%,263.261B
Intel Corporation,57.61,-0.61,-1.05%,250.604B
"Cisco Systems, Inc.",44.85,+0.01,+0.02%,190.265B
Oracle Corporation,56.39,+0.16,+0.28%,185.101B
SAP SE,135.41,-0.02,-0.01%,166.497B
Adobe Inc.,299.30,+0.50,+0.17%,144.885B
"salesforce.com, inc.",162.81,-0.07,-0.04%,142.784B
NVIDIA Corporation,210.89,+0.71,+0.34%,129.065B
Accenture plc,196.66,-0.12,-0.06%,125.068B
Broadcom Inc.,314.92,-0.33,-0.10%,124.92B
International Business Machines Corporation,134.34,+0.50,+0.37%,118.976B
ASML Holding N.V.,266.22,-0.81,-0.30%,112.932B
Texas Instruments Incorporated,117.01,+0.91,+0.78%,109.378B
QUALCOMM Incorporated,84.89,-0.22,-0.26%,96.931B
"Fidelity National Information Services, Inc.",135.46,-1.01,-0.74%,83.254B
Sony Corporation,61.20,-0.32,-0.52%,74.853B
"VMware, Inc.",165.86,+0.16,+0.10%,67.776B
Intuit Inc.,259.81,-11.34,-4.18%,67.57B
"ServiceNow, Inc.",279.98,+0.86,+0.31%,52.804B
"Applied Materials, Inc.",55.94,-0.50,-0.89%,51.675B
"Micron Technology, Inc.",45.87,+0.32,+0.70%,50.78B
"Uber Technologies, Inc.",29.56,+0.10,+0.34%,50.424B
"Advanced Micro Devices, Inc.",39.15,-0.37,-0.94%,44.576B
Infosys Limited,9.60,-0.27,-2.74%,40.922B
"Analog Devices, Inc.",110.65,+1.87,+1.72%,40.875B
"Workday, Inc.",172.84,+1.33,+0.78%,39.408B
Dell Technologies Inc.,53.61,-0.10,-0.19%,38.848B
Lam Research Corporation,261.98,-1.92,-0.73%,38.008B
"Autodesk, Inc.",167.01,+1.96,+1.19%,36.673B
Shopify Inc.,314.52,-1.55,-0.49%,36.481B
Cognizant Technology Solutions Corporation,63.19,-0.21,-0.33%,34.601B
NXP Semiconductors N.V.,115.22,+0.96,+0.84%,32.207B
Atlassian Corporation Plc,125.98,+0.01,+0.01%,30.759B
TE Connectivity Ltd.,90.59,-0.26,-0.29%,30.3B
Amphenol Corporation,101.74,-0.04,-0.04%,30.165B
Telefonaktiebolaget LM Ericsson (publ),9.02,+0.03,+0.33%,29.847B
HP Inc.,19.94,+0.29,+1.48%,29.549B
"Square, Inc.",67.75,+0.33,+0.49%,29.111B
"Motorola Solutions, Inc.",165.85,+0.79,+0.48%,28.416B
"FleetCor Technologies, Inc.",295.18,-0.09,-0.03%,25.616B
KLA Corporation,158.49,-3.10,-1.92%,25.009B
Fortive Corporation,928.50,+4.46,+0.48%,24.575B
"Palo Alto Networks, Inc.",246.87,+0.13,+0.05%,23.944B
Fortive Corporation,70.70,-0.23,-0.32%,23.741B
"Xilinx, Inc.",90.61,+0.15,+0.17%,22.785B
Hewlett Packard Enterprise Company,17.12,+0.04,+0.23%,22.352B
Corning Incorporated,29.02,+0.47,+1.65%,22.32B
"VeriSign, Inc.",188.44,-0.71,-0.38%,22.125B
CGI Inc.,81.45,-0.37,-0.45%,21.966B
Microchip Technology Incorporated,91.66,+0.66,+0.73%,21.905B
Splunk Inc.,140.50,+13.66,+10.77%,21.685B
STMicroelectronics N.V.,23.87,+0.18,+0.76%,21.33B
"ANSYS, Inc.",246.38,0.00,0.00%,21.064B
"Synopsys, Inc.",135.38,-3.39,-2.44%,20.267B
CDW Corporation,136.44,-0.77,-0.56%,19.604B
"Keysight Technologies, Inc.",103.66,-2.09,-1.98%,19.444B
"Cadence Design Systems, Inc.",67.19,+0.01,+0.01%,18.854B
Garmin Ltd.,97.20,-0.88,-0.90%,18.478B
Check Point Software Technologies Ltd.,117.12,+0.85,+0.73%,18.198B
"Fortinet, Inc.",103.81,+0.79,+0.77%,17.755B
Marvell Technology Group Ltd.,25.99,-0.15,-0.57%,17.335B
"Skyworks Solutions, Inc.",97.84,+1.43,+1.48%,16.669B
Seagate Technology plc,59.28,-0.20,-0.34%,15.574B
"Paycom Software, Inc.",263.31,+1.85,+0.71%,15.377B
"Okta, Inc.",127.67,-0.21,-0.16%,15.288B
NortonLifeLock Inc.,24.51,+0.07,+0.31%,15.279B
"SS&C Technologies Holdings, Inc.",59.94,+0.04,+0.07%,15.147B
"Maxim Integrated Products, Inc.",55.29,+0.36,+0.66%,14.962B
"Arista Networks, Inc.",194.49,+2.49,+1.30%,14.859B
"Citrix Systems, Inc.",113.75,+0.51,+0.45%,14.813B
"RingCentral, Inc.",168.88,-0.87,-0.51%,14.541B
Western Digital Corporation,48.46,+0.62,+1.30%,14.412B
"Akamai Technologies, Inc.",87.97,+0.40,+0.46%,14.216B
"Gartner, Inc.",157.00,-1.06,-0.67%,14.044B
"NetApp, Inc.",61.23,+0.53,+0.87%,13.974B
"Broadridge Financial Solutions, Inc.",121.20,-0.15,-0.12%,13.895B
"Lyft, Inc.",46.46,-0.30,-0.64%,13.831B
Zebra Technologies Corporation,243.57,+0.95,+0.39%,13.134B
Teledyne Technologies Incorporated,349.76,+3.44,+0.99%,12.756B
Ubiquiti Inc.,193.73,-0.59,-0.30%,12.564B
"Leidos Holdings, Inc.",88.50,-1.55,-1.72%,12.528B
"DocuSign, Inc.",71.12,+1.18,+1.69%,12.517B
"CrowdStrike Holdings, Inc.",54.20,+0.43,+0.80%,12.246B
"Datadog, Inc.",41.04,+1.01,+2.52%,12.141B
GoDaddy Inc.,69.10,+0.35,+0.51%,11.904B
"Qorvo, Inc.",101.72,+0.82,+0.81%,11.817B
Open Text Corporation,43.03,-0.12,-0.28%,11.626B
"Slack Technologies, Inc.",21.17,+0.17,+0.81%,11.518B
